Node,Degree,Betweenness,Closeness,Eigenvector
Cargo Operators,7,0.2921,0.6667,0.9832
Customs & Immigration,6,0.119,0.6087,1
Fuel Supply Companies,5,0.1868,0.5833,0.7905
Bandaranaike International Airport (CMB),5,0.0916,0.5833,0.8722
Sri Lanka Air Force,5,0.0833,0.5385,0.7453
Mattala Rajapaksa International Airport (MRIA),4,0.0916,0.5185,0.5932
Civil Aviation Authority of Sri Lanka (CAASL),4,0.0751,0.5185,0.5076
Air Traffic Control (ATC),4,0.0742,0.4828,0.3504
Maintenance & Engineering,3,0.0531,0.5385,0.4643
Tourism Authority,3,0.022,0.4828,0.4622
Mihin Lanka,3,0.0201,0.4667,0.3864
International Airlines,3,0.0201,0.4667,0.493
SriLankan Airlines,2,0.0247,0.4242,0.2108
Airport & Aviation Services SL (AASL),1,0,0.4118,0.2196
Ground Handling Unit,1,0,0.3784,0.1766
